name,description,module,path,canonicalId
"workflow-visual","Create visual representations of page designs using external tools and integrate results back into specifications.","wds","_bmad/wds/workflows/4-ux-design/workflow-visual.md",""
"ux-design","Transform ideas into detailed visual specifications through scenario-driven design","wds","_bmad/wds/workflows/4-ux-design/workflow.md",""
"acceptance-testing","Design and run acceptance tests from specification criteria","wds","_bmad/wds/workflows/5-agentic-development/workflow-acceptance-testing.md",""
"analysis","Understand an existing codebase through systematic exploration","wds","_bmad/wds/workflows/5-agentic-development/workflow-analysis.md",""
"bugfixing","Fix bugs in existing code through structured investigation and verification","wds","_bmad/wds/workflows/5-agentic-development/workflow-bugfixing.md",""
"development","Write production code from approved specifications","wds","_bmad/wds/workflows/5-agentic-development/workflow-development.md",""
"evolution","Add features to existing products through targeted changes","wds","_bmad/wds/workflows/5-agentic-development/workflow-evolution.md",""
"prototyping","Build interactive prototypes from specifications","wds","_bmad/wds/workflows/5-agentic-development/workflow-prototyping.md",""
"reverse-engineering","Analyze any software or website to extract specifications and design patterns","wds","_bmad/wds/workflows/5-agentic-development/workflow-reverse-engineering.md",""
"agentic-development","AI-assisted development, testing, and reverse engineering through structured agent collaboration","wds","_bmad/wds/workflows/5-agentic-development/workflow.md",""
"content-creation","Strategic text content generation using the 5-model framework","wds","_bmad/wds/workflows/6-asset-generation/workflow-content.md",""
"figma-integration","Code-to-Figma and Figma-to-code workflows for design review and visual iteration","wds","_bmad/wds/workflows/6-asset-generation/workflow-figma.md",""
"icons","Generate icon sets and individual icons matching design system","wds","_bmad/wds/workflows/6-asset-generation/workflow-icons.md",""
"images","Generate photos, illustrations, and backgrounds from specifications","wds","_bmad/wds/workflows/6-asset-generation/workflow-images.md",""
"page-designs","Generate full page design compositions from specifications","wds","_bmad/wds/workflows/6-asset-generation/workflow-page-designs.md",""
"stitch-generation","AI-assisted UI design using Google Stitch from specifications and sketches","wds","_bmad/wds/workflows/6-asset-generation/workflow-stitch.md",""
"ui-elements","Generate UI components — buttons, cards, forms, navigation elements","wds","_bmad/wds/workflows/6-asset-generation/workflow-ui-elements.md",""
"videos","Generate motion content and animations from specifications","wds","_bmad/wds/workflows/6-asset-generation/workflow-videos.md",""
"wireframes","Generate outline wireframes from page specifications","wds","_bmad/wds/workflows/6-asset-generation/workflow-wireframes.md",""
"asset-generation","Generate visual and text assets from specifications through AI-powered creative production","wds","_bmad/wds/workflows/6-asset-generation/workflow.md",""
"browse-design-system","Generate a disposable localhost app to explore tokens, components, and relationships","wds","_bmad/wds/workflows/7-design-system/workflow-browse.md",""
"create-design-system","Build a new design system or add components from specifications","wds","_bmad/wds/workflows/7-design-system/workflow-create.md",""
"edit-components","Open design system components in Figma for visual editing","wds","_bmad/wds/workflows/7-design-system/workflow-edit.md",""
"import-design-system","Import an existing design system into the WDS format","wds","_bmad/wds/workflows/7-design-system/workflow-import.md",""
"view-components","Preview selected design system components rendered in localhost","wds","_bmad/wds/workflows/7-design-system/workflow-view.md",""
"design-system","Create, import, browse, and maintain design system components and tokens","wds","_bmad/wds/workflows/7-design-system/workflow.md",""
"analyze-product","Understand current product state and find improvement targets","wds","_bmad/wds/workflows/8-product-evolution/workflow-analyze.md",""
"deploy","Create PR and deliver the improvement to the team","wds","_bmad/wds/workflows/8-product-evolution/workflow-deploy.md",""
"design-solution","Sketch and specify the update for a scoped improvement","wds","_bmad/wds/workflows/8-product-evolution/workflow-design.md",""
"implement","Code the designed improvement in a new branch","wds","_bmad/wds/workflows/8-product-evolution/workflow-implement.md",""
"scope-improvement","Create a focused scenario for a specific product improvement","wds","_bmad/wds/workflows/8-product-evolution/workflow-scope.md",""
"acceptance-test","Test the implementation against the specification","wds","_bmad/wds/workflows/8-product-evolution/workflow-test.md",""
"product-evolution","Brownfield improvements — the full WDS pipeline in miniature for existing products","wds","_bmad/wds/workflows/8-product-evolution/workflow.md",""
